name;Owner;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Borggård;Borggårds Kraft AB;1300;375;1;;Ovanjordsanläggning;;;;;Borggårdsån;Finspång;Finspångs kommun;Östergötlands län;58.73042;15.55057
Fengersfors;AB Enderlein & Co;1250;630;1;;Ovanjordsanläggning;;;;;Knarrbyån;Fengersfors;Åmåls kommun;Västra Götalands län;58.99793;12.46471
Gökalid;Gökalid Kraft KB;1250;360;1;;Ovanjordsanläggning;;;;;Sundstorpsån;Sätila;Marks kommun;Västra Götalands län;57.51645;12.31654
Stjärnvik;Finspångs Tekniska Verk AB;1250;300;1;;Ovanjordsanläggning;8;;;;Ysundaån;Finspång;Finspångs kommun;Östergötlands län;58.70790;15.86016
Carlfors;Carlfors Bruk AB;1240;250;1;Kaplan;Ovanjordsanläggning;4.15;;;;Huskvarnaån;Huskvarna;Jönköpings kommun;Jönköpings län;57.76140;14.32677
Axbergshammar;Privatperson;1200;320;1;Kaplan;Ovanjordsanläggning;3.1;;;;Arbogaån;Täby;Örebro kommun;Örebro län;59.42616;15.19488
Brunsberg;Arvika Kraft AB;1200;560;1;Francis;Ovanjordsanläggning;11;6;3.5;11.2;Brunsbergsälven;Brunsberg;Arvika kommun;Värmlands län;59.61941;12.95748
Gammalkroppa;Karlskoga Energi & Miljö AB;1200;700;1;Francis;Ovanjordsanläggning;;;;;Timsälven;Gammalkroppa;Filipstads kommun;Värmlands län;59.67406;14.31549
Greva Såg;Privatperson;1200;320;1;Francis;Ovanjordsanläggning;6.7;;;;Säveån;Vårgårda;Vårgårda kommun;Västra Götalands län;57.94094;12.79897
Karlsfors;Mälarenergi Vattenkraft AB;1200;400;1;Francis;Ovanjordsanläggning;10;5;2.3;;Upperudsälven;Karlsfors;Årjängs kommun;Värmlands län;59.30560;12.30594
Liljendal;Karlskoga Energi & Miljö AB;1200;280;1;;Ovanjordsanläggning;;;;;Svartälven;Lesjöfors;Filipstads kommun;Värmlands län;60.14349;14.06740
Rastälvskvarn;Privatperson;1200;350;1;Francis;Ovanjordsanläggning;10.5;;;;Rastälven;Järnboås;Nora kommun;Örebro län;59.63776;14.89636
Aneby;Skånska Energi AB;1200;320;1;;Ovanjordsanläggning;;;;;Svartån, Motala ström;Aneby;Aneby kommun;Jönköpings län;57.82412;14.81314
Boberg;Susedalens Kraft AB;1200;260;1;Semikaplan;Ovanjordsanläggning;4.3;7;7;;Suseån;Falkenberg;Falkenbergs kommun;Hallands län;56.86798;12.60877
Forsnäs I;Tranås Energi Elförsäljning AB;1200;420;1;;Ovanjordsanläggning;;;;;Bulsjöån;Tranås;Ydre kommun;Östergötlands län;57.84330;15.20931
Gälared;Privatperson;1200;300;1;;Ovanjordsanläggning;;;;;Lillån Gälared;Hillared;Svenljunga kommun;Västra Götalands län;57.63558;13.15282
Hanefors;Forsbacka Kraft AB;1200;1500;1;;Ovanjordsanläggning;;;;;Åmålsån;Åmål;Åmåls kommun;Västra Götalands län;59.08043;12.60766
Holsvattnet;Bodens Energi AB;1200;500;1;Francis;Ovanjordsanläggning;;;;;Ljusån;Boden;Bodens kommun;Norrbottens län;65.96172;21.52582
Hunge;Privatperson;1200;280;1;Kaplan rörturbin;Ovanjordsanläggning;12;3;1.5;;Hungån;Hunge;Bräcke kommun;Jämtlands län;62.75027;15.05568
Korsbyn;Forsbacka Kraft AB;1200;530;1;;Ovanjordsanläggning;;;;;Åmålsån;Åmål;Åmåls kommun;Västra Götalands län;59.07332;12.63842
Lidekvarn;Växjö Kommun;1200;260;1;Kaplan;Ovanjordsanläggning;;;;;Mörrumsån;Saknas;Växjö kommun;Kronobergs län;57.08218;14.82068
Lustholmsfallet;Korsnäs Rockhammar AB;1200;250;1;;Ovanjordsanläggning;;;;;Sverkestaån;Frövi;Lindesbergs kommun;Örebro län;59.52398;15.44596
Pallanite;Bångbro Kraft AB;1200;200;1;Francis;Ovanjordsanläggning;5;;;;Jädraån;Jädraås;Ockelbo kommun;Gävleborgs län;60.85321;16.44237
Fågelfors;Vattenfall Småskalig Kraft AB;1200;415;3;Tvillingfrancis;Ovanjordsanläggning;8.5;5;3.4;;Lagan;Skillingaryd;Vaggeryds kommun;Jönköpings län;57.44103;14.10557
Salteå;Kraft i Bäckland AB;1200;360;2;Dubbel francis samt en enkel;Ovanjordsanläggning;20;2.3;1.5;;Salteån;Nyland;Kramfors kommun;Västernorrlands län;62.88907;18.14609
Semb;Susedalens Kraft AB;1200;300;1;Kaplanturbin;Ovanjordsanläggning;10;3.5;2.9;;Suseån;Asige;Falkenbergs kommun;Hallands län;56.87765;12.76292
Stormyrforsen;Skellefteå Kraftaktiebolag;1200;380;1;Semikaplan;Ovanjordsanläggning;6.5;8;;;Bureälven;Tjärn;Skellefteå kommun;Västerbottens län;64.63790;20.53965
Åkfors;Privatperson;1200;220;2;Francis / Kaplan;Ovanjordsanläggning;3.5;10;10;;Nyköpingsån;Bettna;Katrineholms kommun;Södermanlands län;58.90354;16.45624
Uvafors;Uvafors Energi AB;1200;370;2;Francis;Ovanjordsanläggning;5.2;;;;Alsterån;Alsterbro;Nybro kommun;Kalmar län;56.94116;15.85000
Vessige;Vebro Industri AB;1200;270;3;Francis;Ovanjordsanläggning;20;1.7;1.5;;Lillån Falkenberg;Vessigebro;Falkenbergs kommun;Hallands län;56.97592;12.65767
Ålberga;Ålberga Bruk AB;1200;450;1;Francis;Ovanjordsanläggning;27;;;;Kilaån;Jönåker;Nyköpings kommun;Södermanlands län;58.75378;16.54172
Nylandsån;Tunsjöns Kraft AB;1150;515;1;;Ovanjordsanläggning;;;;;Bruksån;Nylandsån;Sollefteå kommun;Västernorrlands län;63.13167;17.35533
Uddby;Uddby Kraftstation AB;1130;380;1;Dubbelfrancis;Ovanjordsanläggning;14;3.5;1.4;0.2;Albysjöns utlopp i Östersjön;Gamla Tyresö;Tyresö kommun;Stockholms län;59.22500;18.30333
Forsbacken;Bodens Energi AB;1120;350;1;Semikaplan;Ovanjordsanläggning;;;;;Ljusån;Boden;Bodens kommun;Norrbottens län;65.95823;21.59718
Alster;Privatperson;1100;248;1;1 Kaplan, 1 Francis;Ovanjordsanläggning;6.8;7.5;4.7;;Alsterälven;Alster;Karlstads kommun;Värmlands län;59.39943;13.60619
Hillefors;Lerum Fjärrvärme AB;1100;135;1;Francis;Ovanjordsanläggning;2.6;;;;Säveån;Stenkullen;Lerums kommun;Västra Götalands län;57.79422;12.32080
Ärnäs;Malungs Elverk AB;1100;210;1;Francis;Ovanjordsanläggning;11;3.3;;;Dalälven;Lima;Malung-Sälens kommun;Dalarnas län;60.90674;13.37183
Hälla;Tekniska Verken i Linköping AB;1100;250;1;;Ovanjordsanläggning;6.5;;;;Hällaån;Söderköping;Söderköpings kommun;Östergötlands län;58.40877;16.44130
Högsjö;Voith Paper Fabrics Högsjö AB;1100;360;2;Francis;Ovanjordsanläggning;8;;;;Nyköpingsån;Högsjö;Vingåkers kommun;Södermanlands län;59.02369;15.67658
Nybble;Tekniska Verken i Linköping AB;1100;405;1;Francis;Ovanjordsanläggning;21.5;2.6;1.1;;Storån Söderköping;Söderköping;Söderköpings kommun;Östergötlands län;58.47240;16.25384
Färna;Kungsådran Kraft AB;1100;325;1;Francis;Ovanjordsanläggning;10;3.8;2.1;0.2;Gunnilboån;Täby;Skinnskattebergs kommun;Västmanlands län;59.77967;15.86235
Hällstorps Nedre;Privatperson;1080;265;1;;Ovanjordsanläggning;;;;;Kråkeboån;Jönköping;Jönköpings kommun;Jönköpings län;57.73189;14.14726
Torska;Vattenfall Småskalig Kraft AB;1020;540;1;Kaplan;Underjordsanläggning;10.2;;;;Säveån;Tollered;Alingsås kommun;Västra Götalands län;57.79883;12.46517
Sandån;Privatperson;1000;522;1;;Ovanjordsanläggning;;;;;Byälven;Nysäter;Säffle kommun;Värmlands län;59.36492;12.85295
Kungsfors;Västerbergslagens Kraft AB;1000;200;1;;Ovanjordsanläggning;14.8;;;;Storån;Ställberg;Ljusnarsbergs kommun;Örebro län;59.97922;14.92136
Kvarnen Skrikarhyttan;Tiveds Energi AB;1000;175;1;Kaplan;Ovanjordsanläggning;7;;;;Arbogaån;Gyttorp;Nora kommun;Örebro län;59.45948;14.86699
Ställdalen;Ahlstrom Ställdalen AB;1000;220;2;;Ovanjordsanläggning;;;;;Storån;Ställdalen;Ljusnarsbergs kommun;Örebro län;59.93833;14.94186
Svartå;Radiomasten Kraft AB;1000;250;1;Francis;Ovanjordsanläggning;12.5;;;;Svartån;Svartå;Degerfors kommun;Örebro län;59.12352;14.52686
Angerum;GA Kraft AB;1000;250;1;;Ovanjordsanläggning;;;;;Lyckebyån;Karlskrona;Karlskrona kommun;Blekinge län;56.21668;15.67388
Brunsö;Tekniska Verken i Linköping AB;1000;490;2;Kaplan och Francis;Ovanjordsanläggning;3.6;;;;Botorpsströmmen;Gunnebo;Västerviks kommun;Kalmar län;57.66375;16.49599
Bäck;Blue Lake AB;1000;350;1;Propeller;Ovanjordsanläggning;38.5;1.2;;11;Björka älv;Bäckalund;Sunne kommun;Värmlands län;59.93819;13.23639
Edeskvarna;Möbelkedjan i Skillinaryd AB;1000;510;1;;Ovanjordsanläggning;57;;;;Edeskvarnaån;Edeskvarna;Jönköpings kommun;Jönköpings län;57.87217;14.27353
Ellenö;Privatperson;1000;330;1;;Ovanjordsanläggning;;;;;Valboån;Färgelanda;Färgelanda kommun;Västra Götalands län;58.51695;11.95210
Fredriksborg;Abrahamssons Elkraft HB;1000;180;1;;Ovanjordsanläggning;;;;;Assman;Värnamo;Svenljunga kommun;Västra Götalands län;57.44841;13.14472
Fröjered;Tidaholms Energi AB;1000;320;2;;Ovanjordsanläggning;;;;;Tidan;Tidaholm;Tidaholms kommun;Västra Götalands län;58.24976;14.01412
Fröseke Övre;GW Kraft AB;1000;210;1;Francis;Ovanjordsanläggning;;;;;Alsterån;Fröseke;Uppvidinge kommun;Kronobergs län;56.94893;15.77927
Gonarp;Olofströms Energiservice AB;1000;220;1;;Ovanjordsanläggning;5;;;;Holjeån;Gonarp;Bromölla kommun;Skåne län;56.19033;14.50241
Granefors;GW Kraft AB;1000;400;2;;Ovanjordsanläggning;;;;;Mieån;Asarum;Karlshamns kommun;Blekinge län;56.20924;14.87373
Hammarby;Bångbro Kraft AB;1000;170;1;Francis;Ovanjordsanläggning;3.6;;;;Hoån;Ovansjö;Sandvikens kommun;Gävleborgs län;60.54167;16.57454
Marum;Privatperson;1000;355;1;;Ovanjordsanläggning;;;;;Flian;Skara;Skara kommun;Västra Götalands län;58.35588;13.36102
Olstorp;Tranås Energi Elförsäljning AB;1000;320;1;;Ovanjordsanläggning;;;;;Bulsjöån;Tranås;Ydre kommun;Östergötlands län;57.83142;15.09758
Qvissle;Falbygdens Energi AB;1000;262;1;Ossberger;Ovanjordsanläggning;7.4;5;;;Lidan;Trävattna;Falköpings kommun;Västra Götalands län;58.14801;13.26547
Sillegård;Aqua Turbin AB;1000;160;1;;Ovanjordsanläggning;;;;;Aplungsälven;Västara Ämtervik;Sunne kommun;Värmlands län;59.72370;13.14662
Solängen;Solängens Kraftverk KB;1000;240;1;;Ovanjordsanläggning;;;;;Mörrumsån;Braås;Växjö kommun;Kronobergs län;57.08206;14.98469
Staka;Privatperson;1000;200;1;;Ovanjordsanläggning;;;;;Flian;Skara;Skara kommun;Västra Götalands län;58.38293;13.18300
Korsnäs;Falu Kraft AB;1000;309;1;Francis;Ovanjordsanläggning;3;28;22;;Svärdsjövattendragen;Falun;Falu kommun;Dalarnas län;60.58680;15.72365
Sulfiten;Tiveds Energi AB;1000;167;1;Francis;Ovanjordsanläggning;11;;;;Svartån;Laxå;Laxå kommun;Örebro län;58.98805;14.62251
Svaneholm;Svaneholm Energi AB;1000;300;1;;Ovanjordsanläggning;;;;;Lillälven-Värmland;Svanskog;Säffle kommun;Värmlands län;59.18002;12.55406
Taipale mini;Assargenerator HB;1000;300;1;;Ovanjordsanläggning;;;;;Sangis älv;Kalix;Övertorneå kommun;Norrbottens län;66.09367;23.36517
Torsrum;Strömsrums AB;1000;190;1;Francis;Ovanjordsanläggning;5.2;;10.8;;Alsterån;Ålem;Mönsterås kommun;Kalmar län;56.93415;16.42371
Åmsele Nedre;Skellefteå Kraftaktiebolag;1000;150;1;;Ovanjordsanläggning;;;;;Åman;Åmsele;Vindelns kommun;Västerbottens län;64.53408;19.34395
Generator 1 Lilla;METSÄ TISSUE AB;1000;120;1;;Ovanjordsanläggning;;;;;Pauliströmsån;Pauliström;Vetlanda kommun;Jönköpings län;57.47147;15.51608
Hemlings;Hemlings Kraft AB;980;250;1;;Ovanjordsanläggning;9.2;;;;Gideälven;Hemling;Örnsköldsviks kommun;Västernorrlands län;63.65127;18.51968
Svartvik;Armatic Kraft AB;980;170;1;;Ovanjordsanläggning;;;;;Arbogaån;Ställdalen;Ljusnarsbergs kommun;Örebro län;59.92150;14.93219
Bråfallet;AB Borlänge Energi;950;205;1;Kaplan;Ovanjordsanläggning;8.5;2.5;;;Tunaån;Borlänge;Borlänge kommun;Dalarnas län;60.27774;15.30566
Dammen;Privatperson;950;200;1;;Ovanjordsanläggning;5;;;;Storån;Kopparberg;Ljusnarsbergs kommun;Örebro län;59.80618;15.07553
Kvarnagård;Elajo Energiteknik AB;950;250;2;;Ovanjordsanläggning;;;;;Storån Värnamo;Forsheda;Värnamo kommun;Jönköpings län;57.10661;13.73477
Linneberga;Laholms Stenhuggeri AB;950;400;1;;Ovanjordsanläggning;;;;;Fylleån;Marbäck;Halmstads kommun;Hallands län;56.69704;13.05604
Hällstorps övre;Privatperson;940;220;1;;Ovanjordsanläggning;;;;;Kråkeboån;Jönköping;Jönköpings kommun;Jönköpings län;57.72190;14.16299
Boda kvarn;Claestorps Fideikommiss AB;900;220;1;;Ovanjordsanläggning;;;;;Nyköpingsån;Katrineholm;Katrineholms kommun;Södermanlands län;58.96800;16.09580
Garphyttan;Garphytteåns Kraft AB;900;230;1;Francis;Ovanjordsanläggning;62;0.7;;;Garphytteån;Garphyttan;Örebro kommun;Örebro län;59.30593;14.94039
Kärvingeborn;Lesjöfors Kraft AB;900;300;1;;Ovanjordsanläggning;;;;;Svartälven;Hällefors;Hällefors kommun;Örebro län;59.62582;14.63270
Vads kvarn;AB Vads Kvarn & Såg;900;185;3;;Ovanjordsanläggning;2.2;;;;Tidan;Tidan;Skövde kommun;Västra Götalands län;58.58120;14.00374
Alnaryd;Rödeby Kraft AB;900;200;1;Francis;Ovanjordsanläggning;7;3.2;;;Nättrabyån;Alnaryd;Karlskrona kommun;Blekinge län;56.34057;15.43034
Berte Qvarn;Berte Qvarn AB;900;150;1;;Ovanjordsanläggning;;;;;Suseån;Slöinge;Falkenbergs kommun;Hallands län;56.84696;12.68293
Forsvik;Karlskoga Energi & Miljö AB;900;180;1;;Ovanjordsanläggning;;;;;Forsviksån;Forsvik;Karlsborgs kommun;Västra Götalands län;58.57929;14.43486
Främmestad;Forsbacka Kraft AB;900;150;1;;Ovanjordsanläggning;;;;;Nossan;Nossebro;Essunga kommun;Västra Götalands län;58.24846;12.68878
Gimmån;Dala Energi Elnät AB;900;400;1;Ossberger;Ovanjordsanläggning;56.3;1;;;Gimmån;Gagnef;Gagnef kommun;Dalarnas län;60.55879;15.26397
Hedvigsfors;Orsa besparingsskog;900;200;1;;Ovanjordsanläggning;;;;;Svågan;Hevigsfors;Hudiksvalls kommun;Gävleborgs län;61.96948;16.47283
Hovdala;Ekstams Aqua-Kraft HB;900;375;1;;Ovanjordsanläggning;;;;;Brännestadsån;Hässleholm;Hässleholms kommun;Skåne län;56.10394;13.71212
Hultafors;Forsnacken AB;900;170;1;;Ovanjordsanläggning;20;;;;Sörån;Olsfors;Bollebygds kommun;Västra Götalands län;57.69155;12.70866
Häldeholm;Privatperson;900;240;1;Pelton;Ovanjordsanläggning;67;;;;Holmån;Brandstorp;Habo kommun;Jönköpings län;58.08045;14.20383
Knivingaryd;Elektroinstallationer i Påryd AB;900;200;1;Francis;Ovanjordsanläggning;5;;4.8;;Alsterån;Alsterbro;Nybro kommun;Kalmar län;56.93262;15.96274
Melby;Tekniska Verken i Linköping AB;900;450;1;Francis;Ovanjordsanläggning;38;1.21;0.34;;Storån Västervik;Ukna;Västerviks kommun;Kalmar län;58.08888;16.30845
Stampen;Vattenfall Småskalig Kraft AB;900;160;1;;Ovanjordsanläggning;;;;;Storån Dalsland;Dals Rostock;Melleruds kommun;Västra Götalands län;58.69723;12.28765
Strömsnäs;Kraftpojkarna AB;900;210;1;Semikaplan;Ovanjordsanläggning;4.4;6;4.7;;Bredsdal;Enköping;Enköpings kommun;Uppsala län;59.70075;16.82082
Södra Åsarp;Privatperson;900;180;1;Francis;Ovanjordsanläggning;16.5;;;;Åsarpsån;Limmared;Tranemo kommun;Västra Götalands län;57.55781;13.38845
Reinholdsfors;Arvika Kraft AB;900;240;1;Francis;Ovanjordsanläggning;12;2.6;0.2;12;Slorudsälven;Reinholdsfors;Arvika kommun;Värmlands län;59.70569;12.85638
Uddekvarn;Privatperson;900;220;1;;Ovanjordsanläggning;;;;;Botorpsströmmen;Linköping;Västerviks kommun;Kalmar län;57.61358;16.27435
Ungsjöbo;Håbo Vindkraft AB;900;320;1;;Ovanjordsanläggning;;;;;Svärdsjövattendragen;Bålsta;Falu kommun;Dalarnas län;60.87290;15.62040
Vikafors;Vikafors Kraft & Energi AB;900;300;1;;Ovanjordsanläggning;;;;;Västerån;Gislaved;Gislaveds kommun;Jönköpings län;57.33940;13.44045
Gustavsfors;GW Kraft AB;900;150;1;;Ovanjordsanläggning;;;;;Helge å;Älmhult;Älmhults kommun;Kronobergs län;56.60887;14.02011
Björsdamm;Vattenfall Småskalig Kraft AB;880;180;2;Francis;Ovanjordsanläggning;5;5.3;3.7;;Jälmån;Tranemo;Tranemo kommun;Västra Götalands län;57.49388;13.36657
Linghed Stora;Lingheds Elektriska Belysningsförening upa;875;120;1;;Ovanjordsanläggning;;;;;Svärdsjövattendragen;Linghed;Falu kommun;Dalarnas län;60.77918;15.85031
Hyttfallet;AB Borlänge Energi;870;270;1;Francis;Ovanjordsanläggning;8.3;3.8;;;Tunaån;Borlänge;Borlänge kommun;Dalarnas län;60.30848;15.37314
Lilla Kumlan;Armatic Kraft AB;850;160;1;;Ovanjordsanläggning;16;;;;Storån;Ställdalen;Ljusnarsbergs kommun;Örebro län;59.95020;14.89384
Dång;HB Dångs Kraftbolag;850;170;2;;Ovanjordsanläggning;;;;;Ronnebyån;Tingsryd;Tingsryds kommun;Kronobergs län;56.50143;15.13629
Edet;Sätra Bruk AB;850;250;1;;Ovanjordsanläggning;;;;;Edsån;Undenäs;Karlsborgs kommun;Västra Götalands län;58.71727;14.35841
Hällby;Säterbo Kraft AB;850;150;1;Francis;Ovanjordsanläggning;8.5;;;;Gamla Hjälmare Kanal;Arboga;Arboga kommun;Västmanlands län;59.37935;15.93727
Fors;Privatperson;850;160;1;;Ovanjordsanläggning;;;;;Forsån;Skepplanda;Ale kommun;Västra Götalands län;57.97490;12.19237
Pauliströms Bruk;METSÄ TISSUE AB;850;150;1;Francis;Ovanjordsanläggning;21;3;;;Pauliströmsån;Pauliström;Vetlanda kommun;Jönköpings län;57.47008;15.51273
Kröklingsfors;Kraftbolaget i Sverige AB;850;200;2;Francis;Ovanjordsanläggning;3;;;;Viskan;Fristad;Borås kommun;Västra Götalands län;57.81289;13.02653
Strömsberg;Strömsbergs Kraft & Kvarn AB;840;215;1;;Ovanjordsanläggning;7;;;;Sagån;Bredsdal;Enköpings kommun;Uppsala län;59.68906;16.82393
Kvarnfallet;Säterbo Kraft AB;820;100;1;Francis;Ovanjordsanläggning;5.3;;;;Gamla Hjälmare Kanal;Arboga;Arboga kommun;Västmanlands län;59.37530;15.94359
Hedefors;Lerum Fjärrvärme AB;800;315;1;1 Francis, 1 Kaplan;Ovanjordsanläggning;10.5;37;;;Säveån;Stenkullen;Lerums kommun;Västra Götalands län;57.78087;12.29895
Hultsbruk;Aurora Kraft AB;800;200;1;Pelton;Ovanjordsanläggning;52;;;;Pjältån;Åby;Norrköpings kommun;Östergötlands län;58.67158;16.13381
Kristinefors;Fortum Generation AB;800;130;1;;Ovanjordsanläggning;;;;;Ljusnan i Torsby;Kristinefors;Torsby kommun;Värmlands län;60.38941;12.90141
Kvarntorp;Karlskoga Energi & Miljö AB;800;136;1;;Ovanjordsanläggning;2.7;;;;Tidan;Kvarntorp;Skövde kommun;Västra Götalands län;58.57728;14.00644
Storå Kvarn;Privatperson;800;400;1;Kaplan;Ovanjordsanläggning;4;;;;Storån;Storå;Lindesbergs kommun;Örebro län;59.72317;15.13686
Yttertänger;Envikens Elkraft ek för;800;112;3;Francis;Ovanjordsanläggning;2.5;8;;;Svärdsjövattendragen;Enviken;Falu kommun;Dalarnas län;60.84065;15.76437
Diö;GW Kraft AB;800;250;1;;Ovanjordsanläggning;;;;;Helge å;Diö;Älmhults kommun;Kronobergs län;56.64079;14.21891
Flugeby;Flugeby Kraft AB;800;180;1;Kaplan;Ovanjordsanläggning;2.9;4.8;6.1;;Emån;Vetlanda;Vetlanda kommun;Jönköpings län;57.43024;15.15013
Forsbol;Vattenfall Småskalig Kraft AB;800;140;1;;Ovanjordsanläggning;;;;;Storån Dalsland;Mellerud;Melleruds kommun;Västra Götalands län;58.68235;12.28742
Hvena;Privatperson;800;140;2;;Ovanjordsanläggning;;;;;Frändeforsån;Brålanda;Melleruds kommun;Västra Götalands län;58.57832;12.41151
Högebro;Bruza Hydroelektriska AB;800;172;1;Ossberger;Ovanjordsanläggning;8;2.9;1.7;;Emån;Eksjö;Eksjö kommun;Jönköpings län;57.61862;15.52492
Jungnerholmarna;Ålem Energi Kraft AB;800;95;1;Francis;Ovanjordsanläggning;2;6;;;Emån;Fliseryd;Mönsterås kommun;Kalmar län;57.13072;16.25717
Kallskog;Forsbacka Kraft AB;800;385;1;;Ovanjordsanläggning;;;;;Åmålsån;Åmål;Åmåls kommun;Västra Götalands län;59.08662;12.62741
Lidaborg;Lidéns Kraft HB;800;200;1;Francis;Ovanjordsanläggning;;;;;Lidan;Kvänum;Vara kommun;Västra Götalands län;58.29514;13.07197
Nordansjö;Privatperson;800;160;1;;Ovanjordsanläggning;;;;;Botån;Norberg;Norbergs kommun;Västmanlands län;60.09109;15.90181
Nygård;Forsbacka Kraft AB;800;320;1;;Ovanjordsanläggning;;;;;Åmålsån;Åmål;Åmåls kommun;Västra Götalands län;59.04805;12.68721
Oxhult;Tiveds Energi AB;800;160;1;Francis;Ovanjordsanläggning;8;;;;Svartån;Laxå;Laxå kommun;Örebro län;59.00225;14.60889
Segerfors;Mälarenergi Vattenkraft AB;800;180;1;Francis;Ovanjordsanläggning;17;1.8;0.9;;Storån;Högfors;Ljusnarsbergs kommun;Örebro län;59.98086;15.00097
Sjösäter;Tekniska Verken i Linköping AB;800;450;1;;Ovanjordsanläggning;34;;;;Stångån, Motala Ström;Rimforsa;Kinda kommun;Östergötlands län;58.15367;15.57950
Skrika kvarn;Privatperson;800;160;1;;Ovanjordsanläggning;;;;;Emån;Fliseryd;Mönsterås kommun;Kalmar län;57.16383;16.37418
Skärsätt;Torrsjö Kraft AB;800;200;1;;Ovanjordsanläggning;;;;;Stångån;Njurunda;Sundsvalls kommun;Västernorrlands län;62.22160;17.30771
Spånga;Vingåker Kraft AB;800;135;1;;Ovanjordsanläggning;;;;;Nyköpingsån;Vingåker;Vingåkers kommun;Södermanlands län;59.04925;15.82380
Stensta;Frötuna Kraftverk HB;800;210;1;Francis;Ovanjordsanläggning;5.1;7;5.5;;Sverkestaån;Fellingsbro;Lindesbergs kommun;Örebro län;59.50640;15.45215
Svartnäs Nedre;Bångbro Kraft AB;800;160;1;Francis;Ovanjordsanläggning;7;;;;Jädraån;Svärdsjö;Falu kommun;Dalarnas län;60.90604;16.17309
Svartnäs Övre;Bångbro Kraft AB;800;160;1;Francis;Ovanjordsanläggning;7;;;;Jädraån;Svärdsjö;Falu kommun;Dalarnas län;60.91192;16.13814
Perserud;Arvika Kraft AB;800;300;1;Pelton;Ovanjordsanläggning;125;;;;Vikarälven;Arvika;Arvika kommun;Värmlands län;59.72611;12.67870
Ulva kvarn;Ulva Kraft AB;800;200;1;Francis;Ovanjordsanläggning;;;;;Fyrisån;Uppsala;Uppsala kommun;Uppsala län;59.91316;17.57527
Valsverket;Tiveds Energi AB;800;135;1;Francis;Ovanjordsanläggning;6;;;;Svartån;Laxå;Laxå kommun;Örebro län;58.99462;14.61906
Vatthammar Övre;Vatthammars Kraft AB;800;150;1;Francis;Ovanjordsanläggning;;;;;Tunaån;Borlänge;Borlänge kommun;Dalarnas län;60.44913;15.45456
Veka;GW Kraft AB;800;145;1;;Ovanjordsanläggning;;;;;Lillån, Helge å;Älmhult;Älmhults kommun;Kronobergs län;56.54706;13.95188
Yg;Orsa besparingsskog;800;200;2;;Ovanjordsanläggning;;;;;Skarpån;Ljusdal;Ljusdals kommun;Gävleborgs län;61.78755;15.91281
Åtvidaberg;Tekniska Verken i Linköping AB;800;600;1;;Ovanjordsanläggning;20;;;;Storån Västervik;Åtvidaberg;Åtvidabergs kommun;Östergötlands län;58.19813;16.00194
Saxnäs;Vattenfall Ångermanälven AB;765;130;1;Francis;Ovanjordsanläggning;27;0.74;3.4;;Satsån;Saxnäs;Vilhelminas kommun;Västerbottens län;64.96487;15.33093
Brokvarn;Tibro Energi Försäljning AB;750;117;2;Semikaplan;Ovanjordsanläggning;2.1;;;;Tidan;Tibro;Tibro kommun;Västra Götalands län;58.40441;14.13793
Filipstad (Laxöringen);Filipstad Energi AB;750;260;2;Francis;Ovanjordsanläggning;6.2;6;;;Timsälven;Filipstad;Filipstads kommun;Värmlands län;59.71183;14.16294
Madängs Kvarn;Privatperson;750;210;1;;Ovanjordsanläggning;1.8;;;;Tidan;Tidaholm;Tidaholms kommun;Västra Götalands län;58.13537;13.93023
Huseby;Statens Fastighetsverk;750;130;1;Francis;Ovanjordsanläggning;3;;6;;Mörrumsån;Alvesta;Alvesta kommun;Kronobergs län;56.77907;14.58892
Lilla Harrie;Farina AB;750;130;1;;Ovanjordsanläggning;;;;;Kävlingeån;Kävlinge;Kävlinge kommun;Skåne län;55.78871;13.20064
Rävmarken;Privatperson;750;400;1;;Ovanjordsanläggning;;;;;Upperudsälven;Ed;Dals-Eds kommun;Västra Götalands län;59.01796;11.85082
Ursäter;Tekniska Verken i Linköping AB;750;160;1;;Ovanjordsanläggning;4.3;;;;Hällaån;Gusum;Valdemarsviks kommun;Östergötlands län;58.27433;16.52282
Vade;Privatperson;750;110;1;Francis;Ovanjordsanläggning;4;3.5;9;;Harmångersån;Bergsjö;Nordanstigs kommun;Gävleborgs län;61.98811;17.03291
Mariestads kvarn;Mariestad Töreboda Energi AB;735;120;1;;Ovanjordsanläggning;2.8;;;;Tidan;Mariestad;Mariestads kommun;Västra Götalands län;58.70512;13.82617
Kniva;Falu Kraft AB;730;750;1;Francis;Ovanjordsanläggning;49;2;1.7;;Knivaån;Lissebo;Falu kommun;Dalarnas län;60.56119;15.85369
Skeberg;Dala Energi Elnät AB;720;650;1;Francis;Ovanjordsanläggning;32;;;;Djursjön;Skeberg;Leksands kommun;Dalarnas län;60.62942;14.87619
Mörtefors;Mörtefors Kraftstation HB;710;165;1;Francis;Ovanjordsanläggning;;;;;Gårdsvedaån;Virserum;Hultsfreds kommun;Kalmar län;57.30392;15.49763
Alstrum;Privatperson;700;147;1;Semikaplan 1100mm;Ovanjordsanläggning;4;4.5;4;;Alsterälven;Karlstad;Karlstads kommun;Värmlands län;59.48277;13.59353
